course,weeks,weekday,date,periods,start_time,end_time,room,teacher,type,content
精神医学,1-3,一,,1-2,08:00,09:40,F2208,邵春红,lecture,
精神医学,4,一,,1-2,08:00,09:40,F2208,苏亮,lecture,
精神医学,5,一,,1-2,08:00,09:40,F2208,倪花,lecture,
精神医学,7,一,,1-2,08:00,09:40,F2208,王志阳,lecture,
精神医学,8,一,,1-2,08:00,09:40,F2208,倪花,lecture,
精神医学,9,一,,1-2,08:00,09:40,F2208,苏亮,lecture,
精神医学,11,一,,1-2,08:00,09:40,F2208,孙锦华,lecture,
精神医学,12,一,,1-2,08:00,09:40,F2208,诸索宇,lecture,
精神医学,13-14,一,,1-2,08:00,09:40,F2208,蔡亦蕴,lecture,
中西医结合临床,1,一,,3-4,09:55,11:35,F2208,黄建华,lecture,
中西医结合临床,2,一,,3-4,09:55,11:35,F2208,刘宝君,lecture,
中西医结合临床,3,一,,3-4,09:55,11:35,F2208,张天嵩,lecture,
中西医结合临床,4,一,,3-4,09:55,11:35,F2208,余和平,lecture,
中西医结合临床,5,一,,3-4,09:55,11:35,F2208,杨芳勇,lecture,
中西医结合临床,7,一,,3-4,09:55,11:35,F2208,黄建琴,lecture,
中西医结合临床,8,一,,3-4,09:55,11:35,F2208,吴弢,lecture,
中西医结合临床,9,一,,3-4,09:55,11:35,F2208,沈晔华,lecture,
中西医结合临床,1,五,,3-4,09:55,11:35,F2208,蔡敏,lecture,
中西医结合临床,2,五,,3-4,09:55,11:35,F2208,童佳凤,lecture,
中西医结合临床,3,五,,3-4,09:55,11:35,F2208,陈瑜,lecture,
中西医结合临床,4,五,,3-4,09:55,11:35,F2208,弓唯一,lecture,
中西医结合临床,5,五,,3-4,09:55,11:35,F2208,杨峰,lecture,
中西医结合临床,6,五,,3-4,09:55,11:35,F2208,俞泓波,lecture,
中西医结合临床,7,五,,3-4,09:55,11:35,F2208,汪永红,lecture,
中西医结合临床,8,五,,3-4,09:55,11:35,F2208,高翔,lecture,
法医学,1,二,,1-2,08:00,09:40,F2306,李成涛,lecture,
法医学,2-3,二,,1-2,08:00,09:40,F2306,贺盟,lecture,
法医学,4-5,二,,1-2,08:00,09:40,F2306,黄平,lecture,
法医学,6-8,二,,1-2,08:00,09:40,F2306,李立亮,lecture,
法医学,9,二,,1-2,08:00,09:40,F2306,王守宇,lecture,
法医学,11,二,,1-2,08:00,09:40,F2306,林汉成,lecture,
法医学,12,二,,1-2,08:00,09:40,F2306,陈龙,lecture,
法医学,13-14,二,,1-2,08:00,09:40,F2306,姜宴,lecture,
法医学,15,二,,1-2,08:00,09:40,F2306,陈华,lecture,
法医学,16,二,,1-2,08:00,09:40,F2306,徐红梅,lecture,
皮肤病学B,1,二,,3-4,09:55,11:35,F2306,黄琼,lecture,
皮肤病学B,2,二,,3-4,09:55,11:35,F2306,栾菁,lecture,
皮肤病学B,3,二,,3-4,09:55,11:35,F2306,马莉,lecture,
皮肤病学B,4,二,,3-4,09:55,11:35,F2306,隗禕,lecture,
皮肤病学B,5-6,二,,3-4,09:55,11:35,F2306,石磊,lecture,
皮肤病学B,7-8,二,,3-4,09:55,11:35,F2306,陆小年,lecture,
皮肤病学B,9,二,,3-4,09:55,11:35,F2306,李明,lecture,
皮肤病学B,10,二,,3-4,09:55,11:35,F2306,王强,lecture,
皮肤病学B,11,二,,3-4,09:55,11:35,F2306,杨骥,lecture,
皮肤病学B,12,二,,3-4,09:55,11:35,F2306,任捷,lecture,
皮肤病学B,13,二,,3-4,09:55,11:35,F2306,朱鹭冰,lecture,
皮肤病学B,14,二,,3-4,09:55,11:35,F2306,沈燕芸,lecture,
皮肤病学B,15,二,,3-4,09:55,11:35,F2306,高地,lecture,
皮肤病学B,16,二,,3-4,09:55,11:35,F2306,吴家强/叶莹,lecture,
神经病学,1-2,三,,1-2,08:00,09:40,F1205,赵重波,lecture,
神经病学,3,三,,1-2,08:00,09:40,F1205,付建辉,lecture,
神经病学,4,三,,1-2,08:00,09:40,F1205,刘丰韬,lecture,
神经病学,5,三,,1-2,08:00,09:40,F1205,全超,lecture,
神经病学,6,三,,1-2,08:00,09:40,F1205,吴洵昳,lecture,
神经病学,7,三,,1-2,08:00,09:40,F1205,董漪,lecture,
神经病学,8,三,,1-2,08:00,09:40,F1205,赵倩华,lecture,
神经病学,9,三,,1-2,08:00,09:40,F1205,曹文杰,lecture,
神经病学,10,三,,1-2,08:00,09:40,F1205,奚剑英,lecture,
神经病学,11,三,,1-2,08:00,09:40,F1205,林洁,lecture,
神经病学,12,三,,1-2,08:00,09:40,F1205,陈嬿,lecture,
全科医学,1,三,,3-4,09:55,11:35,F1101,江孙芳,lecture,
全科医学,2,三,,3-4,09:55,11:35,F1101,杨华,lecture,
全科医学,3,三,,3-4,09:55,11:35,F1101,刘瑶,lecture,
全科医学,4,三,,3-4,09:55,11:35,F1101,潘志刚,lecture,
全科医学,5,三,,3-4,09:55,11:35,F1101,黄延焱,lecture,
全科医学,6,三,,3-4,09:55,11:35,F1101,刘明,lecture,
全科医学,7,三,,3-4,09:55,11:35,F1101,张颖,lecture,
全科医学,8,三,,3-4,09:55,11:35,F1101,江孙芳,lecture,
全科医学,9,三,,3-4,09:55,11:35,F1101,顾杰,lecture,
全科医学,10,三,,3-4,09:55,11:35,F1101,周敬,lecture,
全科医学,11,三,,3-4,09:55,11:35,F1101,邹健,lecture,
全科医学,12,三,,3-4,09:55,11:35,F1101,寿涓,lecture,
预防医学,1,五,,1-2,08:00,09:40,F2208,郑频频,lecture,
预防医学,2-8,五,,1-2,08:00,09:40,F2208,肖千一,lecture,
预防医学,10-15,五,,1-2,08:00,09:40,F2208,贾英男,lecture,
临床诊断基本技术操作,1,一,,6-9,13:30,16:30,F图书馆12楼临床技能中心,陈颖/方青青,lab,
临床诊断基本技术操作,2,一,,6-9,13:30,16:30,F图书馆12楼临床技能中心,李丹丹/吴召娣,lab,
临床诊断基本技术操作,3,一,,6-9,13:30,16:30,F图书馆12楼临床技能中心,陈颖/方青青,lab,
临床诊断基本技术操作,4,一,,6-9,13:30,16:30,F图书馆12楼临床技能中心,方又昕/吴迪,lab,
临床诊断基本技术操作,5,一,,6-9,13:30,16:30,F图书馆12楼临床技能中心,彭清/周杰,lab,
临床诊断基本技术操作,7,一,,6-9,13:30,16:30,F图书馆12楼临床技能中心,彭清/周杰,lab,
临床诊断基本技术操作,8,一,,6-9,13:30,16:30,F图书馆12楼临床技能中心,王晨辰/丁明,lab,
