course,weeks,weekday,date,periods,start_time,end_time,room,teacher,type,content,color
妇产科示教,9,五,2025-11-07,7-9,13:30,16:30,实训基地,教研室,exam,, 
Jounal Club-YJT,1-18,三,, ,20:00,22:00,,,meeting,Jounal Club-YJT,#FFD54F
Group Meeting-YJT,1-18,日,, ,09:00,10:00,,,meeting,Group Meeting-YJT,#FFD54F
Group Meeting-DWQ,1-18,四,, ,20:00,21:00,,,meeting,Group Meeting-DWQ,#FFF59D
Group Meeting-DS,1-8,五,, ,21:00,22:30,,,meeting,Group Meeting-DS,#64B5F6
Group Meeting-DS,9-18,五,, ,22:00,23:30,,,meeting,Group Meeting-DS,#64B5F6
Cne to One-DS,1-7,日,, ,21:00,21:30,,,meeting,Cne to One-XS,#64B5F6
Cne to One-DS,8-18,日,, ,22:00,22:30,,,meeting,Cne to One-XS,#64B5F6
English iShow,8-18,二,, ,18:00,21:00,,,meeting,English iShow,#EE822F
English iShow,8-18,日,, ,9:00,19:00,,,meeting,English iShow,#EE822F
