ID,English Name,Chinese Name,Source Country,Retired
1,Damrey,达维,Cambodia,FALSE
2,Haikui,海葵,China,TRUE
3,Kirogi,鸿雁,North Korea,FALSE
4,Yun-yeung,鸳鸯,Hong Kong,FALSE
5,Koinu,小犬,Japan,FALSE
6,Bolaven,布拉万,Laos,FALSE
7,Sanba,三巴,Macau,FALSE
8,Jelawat,杰拉华,Malaysia,FALSE
9,Ewiniar,艾云尼,Micronesia,TRUE
10,Maliksi,马力斯,Philippines,FALSE
11,Gaemi,格美,South Korea,FALSE
12,Prapiroon,派比安,Thailand,FALSE
13,Maria,玛莉亚,United States,FALSE
14,Son-Tinh,山神,Vietnam,FALSE
15,Ampil,安比,Cambodia,FALSE
16,Wukong,悟空,China,FALSE
17,Jongdari,云雀,North Korea,FALSE
18,Shanshan,珊珊,Hong Kong,FALSE
19,Yagi,摩羯,Japan,TRUE
20,Leepi,丽琵,Laos,FALSE
21,Bebinca,贝碧嘉,Macau,FALSE
22,Pulasan,普拉桑,Malaysia,FALSE
23,Soulik,苏力,Micronesia,FALSE
24,Cimaron,西马仑,Philippines,FALSE
25,Jebi,飞燕,South Korea,TRUE
26,Krathon,山陀儿,Thailand,TRUE
27,Barijat,百里嘉,United States,FALSE
28,Trami,潭美,Vietnam,TRUE
29,Kong-rey,康妮,Cambodia,TRUE
30,Yinxing,银杏,China,FALSE
31,Toraji,桃芝,North Korea,TRUE
32,Man-yi,万宜,Hong Kong,TRUE
33,Usagi,天兔,Japan,TRUE
34,Pabuk,帕布,Laos,FALSE
35,Wutip,蝴蝶,Macau,FALSE
36,Sepat,圣帕,Malaysia,FALSE
37,Mun,木恩,Micronesia,FALSE
38,Danas,丹娜丝,Philippines,FALSE
39,Nari,百合,South Korea,FALSE
40,Wipha,韦帕,Thailand,FALSE
41,Francisco,范斯高,United States,FALSE
42,Co-may,竹节草,Vietnam,FALSE
43,Krosa,罗莎,Cambodia,FALSE
44,Bailu,白鹿,China,FALSE
45,Podul,杨柳,North Korea,FALSE
46,Lingling,玲玲,Hong Kong,FALSE
47,Kajiki,剑鱼,Japan,FALSE
48,Nongfa,蓝湖,Laos,FALSE
49,Peipah,琵琶,Macau,FALSE
50,Tapah,塔巴,Malaysia,FALSE
51,Mitag,米娜,Micronesia,FALSE
52,Ragasa,桦加沙,Philippines,FALSE
53,Neoguri,浣熊,South Korea,FALSE
54,Bualoi,博罗依,Thailand,FALSE
55,Matmo,麦德姆,United States,FALSE
56,Halong,夏浪,Vietnam,FALSE
57,Nakri,娜基莉,Cambodia,FALSE
58,Fengshen,风神,China,FALSE
59,Kalmaegi,海鸥,North Korea,FALSE
60,Fung-wong,凤凰,Hong Kong,FALSE
61,Koto,天琴,Japan,FALSE
62,Nokaen,洛鞍,Laos,FALSE
63,Penha,西望洋,Macau,FALSE
64,Nuri,鹦鹉,Malaysia,FALSE
65,Sinlaku,森拉克,Micronesia,FALSE
66,Hagupit,黑格比,Philippines,FALSE
67,Jangmi,蔷薇,South Korea,FALSE
68,Mekkhala,米克拉,Thailand,FALSE
69,Higos,海高斯,United States,FALSE
70,Bavi,巴威,Vietnam,FALSE
71,Maysak,美莎克,Cambodia,FALSE
72,Haishen,海神,China,FALSE
73,Noul,红霞,North Korea,FALSE
74,Dolphin,白海豚,Hong Kong,FALSE
75,Kujira,鲸鱼,Japan,FALSE
76,Chan-hom,灿鸿,Laos,FALSE
77,Peilou,琵鹭,Macau,FALSE
78,Nangka,浪卡,Malaysia,FALSE
79,Saudel,沙德尔,Micronesia,FALSE
80,Narra,紫檀,Philippines,FALSE
81,Gaenari,简拉维,South Korea,FALSE
82,Atsani,艾莎尼,Thailand,FALSE
83,Etau,艾涛,United States,FALSE
84,Bang-lang,班朗,Vietnam,FALSE
